Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C14, C18, C19, C2, C3, C4, C5, C8",0603,11,1uF,C5673
"C11, C13, C15, C16, C17, C20, C21, C22, C23, C24, C25, C9",0402,12,100nF,C100072
"C6, C7",0805,2,10uF,C408142
J1,HRS_DF12NB-60DS-0.5V_51,1,DF12NB-60DS-0.5V_51,C5137127
J3,HRS_DF12NB-50DS-0.5V_51,1,DF12NB-50DS-0.5V_51,C2858672
"R10, R9",0402,2,1k,C11702
"R13, R14, R15",0805,3,0,C4143065
"R2, R4, R8",0603,3,0,C95177
R5,0402,1,0R,C60485
U1,SOT-23-5,1,AP2112K-1.8,C176944
U4,caravel_cob_100_105,1,Openframe_QFN_TT06_REV2,TT_ASIC_CHIP
