Designator,Mid X,Mid Y,Rotation,Layer
C1,28.1,40.775,270.0,top
C10,32.1,40.7,270.0,top
C11,17.7,27.4,315.0,top
C12,40.3,40.675,270.0,top
C13,20.5,30.2,315.0,top
C14,38.7,40.675,270.0,top
C15,29.8,20.5,315.0,top
C16,33.2,27.1,45.0,top
C17,25.8,16.5,135.0,top
C18,8.0,47.9,0.0,top
C19,46.95,47.3375,0.0,top
C2,24.8,15.0,315.0,top
C20,32.3,28.0,225.0,top
C21,5.9,47.8,90.0,top
C22,46.95,48.5375,0.0,top
C23,17.2,24.7,135.0,top
C24,23.2,17.4,45.0,top
C25,35.6,4.8,0.0,top
C3,26.3,40.775,270.0,top
C4,33.9,40.7,270.0,top
C5,23.7,13.6,315.0,top
C6,8.1,41.9,0.0,top
C7,46.8,41.4375,0.0,top
C8,24.3,35.4,135.0,top
C9,27.5,31.9,225.0,top
J1,6.0,28.0,90.0,bottom
J3,44.0,13.0,90.0,bottom
R10,37.7,33.3,270.0,top
R13,31.725,43.2,0.0,top
R14,24.1,43.2,0.0,top
R15,39.5,43.2,0.0,top
R2,3.1,42.2,270.0,top
R4,47.9,38.8375,90.0,top
R5,36.4,35.0,90.0,top
R8,44.45,44.8375,90.0,top
R9,35.0,33.2,270.0,top
U1,8.0,45.0,270.0,top
U4,25.0,25.0,135.0,top
